Term,Weight
visual,3083.0014849941326
emotional,1417.74379916861
motor,1162.946992807944
attention,937.9411346449315
face,901.648899334376
motion,852.1758031833873
memory,846.9227634588025
spatial,845.1097960987246
words,816.0238915128921
faces,808.9376745095859
auditory,782.6701203376899
body,780.1180758568221
perception,771.0952560100409
language,711.9705106674706
novel,646.3864539980158
perceptual,624.0582808892968
semantic,619.8409193970716
speech,608.5499874014221
word,603.7121895451855
number,556.596958949805
social,554.1567213447845
retrieval,546.6592555227417
working_memory,531.7757379058202
self,518.7777115211901
emotion,513.8571669201218
action,505.8444859007815
reward,503.8197793664217
sensory,485.62364069336417
cues,481.6239924006888
recognition,452.42537656920797
verbal,428.98047735634486
encoding,427.36530259688317
schizophrenia,425.89019678883955
person,424.7225323329606
learning,416.1739620291732
target,415.79135322147806
reading,413.84433393000916
demands,412.7509607910107
default,408.16213058644325
knowledge,403.24173740757817
actions,398.93921870279695
attentional,393.4729613899594
stimulation,390.370099890475
experience,381.85337610612066
affective,352.65686529205584
gaze,348.83462745957456
focused,336.87655580494624
cognitive_control,327.9999489133832
goal,325.9945822939776
mentalizing,324.82273307463845
viewed,318.5559046903644
scale,318.23006836070863
reveal,315.027746121747
question,306.7471135866082
risk,306.62864245498747
viewing,303.2812492822272
judgments,300.17309597561024
decision,299.90833719927457
monitoring,295.99900921859637
core,294.99422741764977
presence,294.10195808099445
cue,292.0447217544578
view,290.17466622485756
pain,289.51566091308894
default_mode_network,287.41861475652433
line,286.7811112865179
report,286.4319248808004
affect,286.09633863197985
mental,282.6922384886348
future,281.9175338810337
unique,279.8679737636174
importance,276.97458662770094
intrinsic,275.27020004939925
direction,274.31247423604896
involves,273.93749227482533
pictures,273.2674190687586
size,271.02804806053416
somatosensory,269.5487566800796
movements,268.42342240824087
explored,266.34999817380447
movement,263.1333097523693
identification,262.5848096832793
relationships,262.25059452808154
selectively,262.2020001619903
wm,257.500219905981
location,255.55250076255257
subsequent,252.06609130655295
explore,250.87364206525174
sentences,249.2944976996623
relation,247.90065853780263
various,247.23039873637026
comprehension,243.8678971470585
fear,241.79125666876064
behavioural,240.94225905560495
matching,239.66228308461734
automatic,237.30825478587732
perceived,237.03194515024106
women,236.94282274005826
color,233.58381590344933
adaptation,231.0268787433814
influences,229.35828451542318
physical,227.97596748620884
emotions,225.424464626917
manipulated,224.9381603240718
directed,224.91346461058134
voice,223.8605630466518
reflected,223.32109022781643
inhibition,220.93467313700552
address,220.6533610581588
bias,220.434541542327
mind,219.88417524245838
image,219.60783675419145
basic,218.97515942764505
meaning,217.36238041606353
empathy,215.73735396919196
regardless,215.62045967248838
issue,214.77464622637947
judgment,214.03241219072322
value,210.4749088265686
eye,209.44518244146033
discrimination,208.60598561690892
evaluation,208.05465522531944
nature,207.3366217033618
spontaneous,206.89703410399278
major,205.86023018538853
input,205.7399975952319
characteristics,204.98428734835738
reasoning,204.120247720536
conjunction,203.93493900461957
chinese,203.09154864994855
coupling,201.87959022626356
scenes,201.6509762965365
error,200.7224912370378
gestures,200.67722060546922
outcome,200.6230802324638
reflects,200.503374082993
perspective,199.98312391423534
explicit,198.79168688209597
manipulation,198.14326280786162
respond,195.53022260648908
situation,195.08604290458243
selection,194.76622122487817
suppression,194.60626815789763
free,194.48290453944097
exhibit,194.04606692257244
executive,193.98505645610035
evaluated,193.86665250248507
factor,193.10989374311725
global,192.88538027755013
six,191.66364795761962
communication,191.21658272998542
repetition,190.4669065077152
regulation,189.9896306057118
ambiguous,188.91543081655718
linguistic,188.88889419986916
shared,188.82146657562168
mental_states,188.1328067615167
sensorimotor,187.58717179766046
situations,186.29934543267126
located,186.28733573448878
influenced,185.92869823190586
towards,185.6592447302666
salience,185.14398870271765
roles,183.68995534926407
seed,183.18538052905143
generated,183.10693441794368
switching,182.08449509848154
intensity,181.49500693449863
load,180.39416988778382
contributions,178.93234749901876
engagement,178.11084313451752
engage,178.1003731681809
predict,177.9638670422321
strategies,177.44353147815474
focus,177.23544901717628
interpretation,177.0661635097222
complexity,176.55450850933056
generation,176.1701628117619
difficult,175.5798721932995
sounds,175.22023622298366
visually,175.08386125213235
repeated,175.02520065546793
forms,175.00344922811075
priming,174.825660546426
block,174.6494083629475
modality,174.13464626921302
phonological,174.05897522990625
asd,173.48344525269968
hearing,173.36100149032387
five,173.01533672860535
environment,171.3349538797791
participant,171.2086199503314
stage,170.95300056838224
preferentially,170.69973731669535
tests,170.55061934622674
training,170.39798959003068
music,169.7272403810227
flow,169.6786919721604
tactile,168.0559028015261
requiring,167.13223458230175
varying,166.91711967792884
responding,166.895994338048
outside,166.73292430564632
delay,166.51538856981466
represented,165.32988782028912
moving,164.4181464169254
loss,163.89460678583012
subjective,163.74411680002052
static,162.60605033601422
picture,161.9605847322575
highlight,161.5433778409333
substrate,161.47078078492274
examining,160.44737083125386
scan,160.0907661307508
blind,159.9247454494847
followed,159.13263634810227
stages,159.01527933599374
connected,158.74345620788108
moral,158.71705291296516
conclusion,158.66787926792676
sequence,158.5317154368796
depression,158.36970017540193
shape,157.93596879249063
ratings,157.01659856707937
scene,156.9022347392048
autism,156.49147060385965
fundamental,156.1873748364994
partially,156.11414784949085
anticipation,155.63856709439685
adhd,155.56671868766347
feedback,155.36256434940174
opposite,155.31323569509817
items,154.74006869982705
behaviors,154.15471553255446
choice,154.12325272156204
