Term,Weight
visual,2195.7480166203763
motor,1107.5203839635337
emotional,1043.1325654772245
attention,712.042082569222
face,640.5476473032917
memory,627.8785710617776
motion,622.5403089234237
words,611.1986605035476
spatial,597.1955832724908
faces,566.8314787312502
body,561.9465783934622
language,532.771127164237
perception,518.5593851459812
novel,488.8819201048456
auditory,485.16797312006304
semantic,471.35979890133814
word,451.33490155913387
perceptual,427.5886133392291
social,421.1414971394108
number,417.9931890609515
retrieval,403.1238306137349
speech,393.94612839830944
working_memory,393.21151708742934
self,385.1596780049022
emotion,376.84981896826434
sensory,372.9118496905133
person,371.2544685311444
action,365.70522303398934
reward,361.6891500892615
cues,349.3573347586416
verbal,327.3118265661037
knowledge,324.4302875566982
target,322.8326222603079
recognition,318.3500825158988
reading,317.8197290189306
encoding,317.5160602378428
schizophrenia,316.33134477299114
default,313.2402939507328
learning,307.5043428224067
demands,303.56783459979783
attentional,294.9227344539016
stimulation,290.93499070659584
actions,290.60880142749323
experience,276.447061913157
mentalizing,265.16193647231313
judgments,263.5711978217823
gaze,260.899617561481
focused,260.7877761997744
question,255.2328193041381
affective,254.7246864712965
scale,253.38385426042805
cognitive_control,252.4115185515697
viewed,251.93002804741246
mental,246.68464027853153
goal,246.51019441172483
decision,241.95676587797945
movement,235.3129165192898
risk,231.63266243544552
monitoring,229.0883385724523
future,229.00721737879599
movements,227.08045292889523
default_mode_network,226.9257631097701
unique,224.0399837899148
view,221.67116598284477
presence,219.5570730075931
intrinsic,219.29633263505684
affect,218.7579832605969
line,217.1888117307051
report,216.31409891061918
explored,216.25485431741748
core,215.90039950009964
cue,215.35511025222647
size,214.60703475220257
viewing,213.36131477386687
reveal,212.1586857367503
involves,211.2739764883081
direction,205.29779934268413
various,204.96447907973018
pictures,203.1926978931212
wm,198.9327107871562
selectively,198.53408063794046
somatosensory,197.75303846739212
relationships,196.77309184365052
explore,194.11289129812056
importance,191.73837350507984
comprehension,191.4705064363821
sentences,190.95955589350018
location,187.68237904947424
behavioural,184.20601125760652
subsequent,184.02176917897867
pain,182.44705632576722
physical,181.58015649045026
voice,181.28065397290936
relation,177.45614305312978
judgment,177.37346206482758
mind,176.73217336853975
identification,175.15179716965923
women,174.52923779931803
address,173.89096565896477
automatic,173.23884991886615
adaptation,173.17816761280906
perceived,172.4025545500363
sensorimotor,171.91711960204196
matching,170.63217918966163
emotions,169.67912223797728
directed,169.4278052065289
six,169.06057001156967
reflected,168.35656960378307
error,168.3344608579566
perspective,166.37725479081467
fear,165.66861109879147
eye,163.34778006721507
explicit,163.29013996770033
influences,163.181838651945
image,162.6089841052021
spontaneous,162.52530824974397
issue,162.47219000714625
free,161.18008065690677
reflects,161.14298654173848
situation,160.64634518653597
reasoning,160.60294610016047
bias,160.19180098392903
regardless,160.1025481022778
meaning,159.81108153298243
executive,158.33790326772322
nature,158.06417217052203
mental_states,157.92979637784293
manipulated,156.9705316754687
inhibition,156.70491136488906
input,155.62768714715224
exhibit,154.52278470522876
manipulation,154.3815083535303
characteristics,153.50006539410884
basic,152.82854542731505
chinese,152.13518870450238
value,152.09292719791182
evaluation,152.0189091100187
factor,151.99633525181468
empathy,150.97007497100537
engage,150.45334639056705
evaluated,148.6692073530475
regulation,148.55285466650045
conjunction,148.36717291997127
suppression,147.90177253259532
selection,147.8845837786116
color,147.63174406059582
major,147.5655935707158
roles,146.70326899643888
generation,146.5979382680379
seed,146.42818054629538
respond,146.31504731701511
situations,145.74489575835648
shared,145.66563325072894
gestures,145.59629725133232
strategies,145.42715030938544
repetition,144.17720498197406
communication,143.3644560346671
tests,142.19485986637392
linguistic,140.5786106257554
discrimination,140.261645954188
coupling,140.20587149051414
global,139.87331429682266
outcome,139.3974274116708
difficult,139.2056451357083
ambiguous,138.70147293535015
moral,138.5660897644309
located,137.57381869835223
engagement,137.4541555199578
influenced,137.3235595991499
generated,136.54791799658477
predict,136.3681138640775
five,135.4432187394333
towards,135.3691994295286
namely,134.55686143637848
contributions,134.43606383051917
flow,134.40243637073672
repeated,134.30362687110016
load,133.69153564131113
complexity,133.1698847819873
priming,132.71663009221143
conclusion,132.41753736568955
connected,132.21170702757027
asd,131.69261010234595
training,131.55667836306517
interpretation,130.999894497391
participant,130.80072734497122
abilities,130.54573439345955
modality,130.4948367387087
errors,130.03394414237204
scan,129.6036219459922
scenes,129.53900926268366
partially,128.85898731987982
switching,128.8236620902101
followed,128.79086734428756
represented,128.5742537709535
outside,128.52357654224375
salience,128.39225207612265
requiring,128.34251582005857
social_cognition,127.62781377591925
delay,127.1974165041484
loss,126.83257570900628
behaviors,126.60801894603931
block,124.8329449407679
phonological,124.62189272367424
anticipation,124.25783108058181
forms,123.74020652431761
environment,123.68427749169716
focus,123.50015810580604
stage,123.4657835573717
targets,123.40399651780875
visually,122.98429501286031
sequence,122.57145853498814
idea,122.48395143532514
varying,122.20245413340108
hearing,121.95491517904505
maintenance,121.57224958211577
adult,121.34252785450597
instructed,121.02791448848158
examining,120.94762185553981
moving,120.92309542435154
aging,120.9181456647058
static,120.58910753990757
decisions,120.34876130787251
intensity,119.96238342214089
items,119.48314485769819
adhd,119.20332370827143
autism,118.79527360953202
tactile,118.60142692348997
highlight,118.52205092557881
blind,117.49071435660065
values,117.28782662827948
subjective,117.16852063768268
picture,117.04958277267006
abstract,116.54161353087487
accurate,116.2940876968789
fundamental,116.21262150882137
representing,116.09724338249964
completed,116.08176735828368
taking,115.60023890340268
handed,115.58931880463942
existence,115.30075364562742
impairments,115.04843756961088
passive,114.99930258775476
preferentially,114.86594282925637
responding,114.80704737075435
characterize,114.7498513917183
imagery,114.48950032627141
past,114.34672113676493
latter,114.30247270809821
depression,114.27621718012368
substrate,114.25854153789751
conflict,113.76758805202506
intentions,113.57673180150508
personality,113.55489024888115
deficit,113.18332578308933
music,113.1550265633862
shape,113.11220648704733
male,113.08156651290187
modulate,112.91619378325387
capacity,112.74242176689955
stress,112.18216567459521
duration,112.07319613875248
orientation,111.75792337516344
scene,111.45115512240578
opposite,111.36633496614817
predominantly,111.23753674065316
contexts,111.04666301507586
choice,110.95934181706262
purpose,110.22675935741286
dominant,109.84421637532265
half,109.70780333852068
co,109.60844677932047
explained,109.397909592499
implicit,109.04266529554994
feedback,108.84477858977704
sequences,108.7989699930391
execution,108.42565226075916
testing,107.94701121692019
placebo,107.49756946394483
attributed,107.46111261638852
sex,107.43689150754466
identity,107.4154189613964
correct,107.20939122374216
lack,106.9247919459242
aversive,106.75128067678921
stages,106.38034744395159
yielded,106.20059885798136
intention,106.07490316615704
ratings,106.03101582826383
contextual,105.55581173383635
category,104.77150835232545
selected,104.67838991782997
facial,104.3247817900445
throughout,103.98637139043613
outcomes,103.69831558295542
pronounced,103.47646538815789
compensatory,103.4468240231062
critically,103.43491750304094
rate,103.35987498403625
behaviour,103.09536556700525
deaf,102.99228204676787
finger,102.85835602683048
recall,102.62892742639876
confirm,102.54454623454392
everyday,102.25990701559809
amount,102.1774518337393
space,102.13583766449659
strategy,102.07885242750311
typical,101.99884239673014
ad,101.95061149069693
sentence,101.86165379246971
aspect,101.75954113861619
experienced,101.62349121533748
mid,101.61094265150807
lexical,101.59050661650213
variations,101.18446160820812
world,101.1018018030544
third,100.49654230630418
behaviorally,100.493191999807
interact,100.26216195177713
episodic,100.20846891864736
visuo,100.00385134486567
manner,99.8834425514156
sounds,99.84288102607692
spoken,98.86558708076811
frequently,98.57069582715947
dynamics,98.10750117362173
appeared,98.03384885732275
severity,97.89753699610291
learned,97.87996696661925
comprising,97.77250459945374
mental_state,97.5753030040945
regression,97.37862194743553
population,97.36672159530632
exposure,97.32351199848216
default_mode,97.19120427031446
pathway,97.12742941989659
efficient,97.07472835474985
awareness,96.92034481420765
insight,96.84768622612182
beyond,96.27506445556651
personal,95.99844569474902
adaptive,95.96870439663184
letter,95.56189141424248
remained,95.50384085077863
assessment,95.49961527269514
bpd,95.04835056012574
faster,94.99711811734437
expressed,94.89415971609267
differentiation,94.79888599466506
natural,94.19834349771693
naming,94.13482052004811
sets,94.03361187834942
lesion,93.73447529307867
coherent,93.55068730800494
sustained,92.87681406698186
theory_of_mind,92.66625436645114
mediating,92.45872363344775
inference,92.4507340249709
psychological,92.36383659984782
female,92.26062739423548
correlate,92.04754423795868
intact,91.91199710289597
experiences,91.85996592530415
neurocognitive,91.51718236662924
late,90.9829293289222
affects,90.75598957278194
memories,90.60078638474613
sub,90.50687858417449
putative,90.41963329919756
material,90.34468375021147
example,90.3213530828674
reliably,90.20219146922122
biological,90.1117139418077
interference,90.09183713185547
locations,90.04403852145411
close,89.83009032333646
arousal,89.81335200027144
familiar,89.5768981000063
poles,89.46347993632767
bodies,89.16288692351256
attribution,89.13472364418062
salient,89.03989350657466
meaningful,89.03384943365029
help,88.92832348476753
shifts,88.8422243899644
novelty,88.62780243116359
delayed,88.59967141526666
identifying,88.58970665956497
addressed,88.18655746413249
similarly,88.04449773101304
assumed,87.86548948969254
listening,87.85786138365556
integrating,87.40706257885806
total,87.30983120485064
position,87.15066938555006
recruit,87.0570063764279
letters,86.90379812670274
portion,86.77492858816414
effort,86.74433541484518
spatially,86.5578416056856
evident,86.45611227175769
conceptual,86.41312364410368
shift,86.32136479270659
visuospatial,86.08577834495291
conversely,85.81891984058596
causal,85.7435046420757
useful,85.59463674212984
detect,85.35353482904567
variation,85.13593322781574
distinguish,84.91534898539939
called,84.89500808910381
cued,84.76162829412854
efficiency,84.29889701510857
biological_motion,84.29491138103309
ptsd,84.27415141237381
integrated,84.13257041707246
demanding,83.94899546170798
musical,83.80271061753605
pitch,83.79705011970435
eight,83.73731216095746
changing,83.58897124186367
status,83.34025852664523
available,83.13330390857588
subregions,83.13055423359822
irrelevant,83.06892326331128
coding,82.90777346873948
episodic_memory,82.67660951899003
demand,82.4498999667532
specialization,82.12086075596099
assessing,82.06959280471598
planning,82.05686937794849
anxiety,81.81372697708433
mediate,81.50614725048163
blocks,81.47832904390178
females,81.45997050360495
expression,81.45949457997955
represents,81.45388827773243
associative,81.43728932594856
accounts,81.36222996074892
sessions,81.18022359019312
modalities,81.0503933915468
response_inhibition,81.04258327510016
leading,80.95699637609846
multimodal,80.86274218596171
elicit,80.72601781987447
concurrent,80.72124884413886
distribution,80.63910696195842
thinking,80.55593917923528
providing,80.15993243232893
seven,79.8107528013644
measuring,79.73477526765639
closely,79.7289506159863
sign,79.48742030412936
systematically,79.4485283640244
decision_making,79.1664335072189
switch,79.11042026016517
intentional,79.0458747337454
sites,78.97212839684335
reliable,78.77864086846617
environmental,78.74483775530109
map,78.69285328709813
beliefs,78.67270266678844
methodology,78.58666717407985
search,78.4785841213308
relational,78.39655014570148
judged,78.3455475819741
mood,78.03120178890016
serve,77.87070624680716
native,77.62461846052548
nevertheless,77.3872286955496
persons,77.34197808610082
males,77.07617294227144
executive_control,76.98685777517467
inferences,76.61892411773636
subserving,76.09362550196488
probability,76.06440487471697
specialized,76.01503479461996
rapid,75.87847957287842
developmental,75.84517319573324
character,75.72630770068609
relate,75.58909106616943
consisted,75.53267168359673
contrasting,75.3448930635507
trait,75.29066934556457
asymmetry,75.10006587789027
reaction_time,75.0060991912084
include,74.93531664978282
traits,74.90206656903291
categories,74.89439285449815
hands,74.85746301670386
guided,74.6146278387103
speaker,74.59896814928533
phenomenon,74.43970683276935
explicitly,74.348453633981
tools,74.34554644754846
relations,74.34305968579895
probe,74.2696152434363
bipolar,73.45237722970245
usually,73.38766854998227
theoretical,73.27246380288918
neurophysiological,73.26920159526361
belief,73.12103566794411
access,73.10590293041226
timing,72.84566757332205
mdd,72.8031874406758
produce,72.70188544840425
sound,72.69188020867958
deactivations,72.57875863920407
pd,72.41010743489635
combining,72.20943946742415
production,72.1544681437583
drug,72.07717622815868
feelings,72.03085114417064
fact,72.03062593792266
factorial,72.02234235684594
improved,71.98397923775087
emerged,71.91384242475472
weaker,71.90284783913195
narrative,71.86781445816263
domains,71.76874204140282
interestingly,71.62519390543308
attenuated,71.53562545267646
characteristic,71.5084050117921
controlling,71.49801289967266
display,71.49418951807438
stable,71.35039363244493
paired,71.2853870418581
approximately,71.2665368955112
stop,71.08293148801658
triggered,70.98804229117863
temporally,70.87338481168707
facilitate,70.84639777773425
contributes,70.81856218453305
daily,70.74014046748148
sleep,70.13899522616872
food,70.12465848304966
insights,69.8135429331416
touch,69.7709933077733
preparation,69.73503249909542
observations,69.69259534920147
version,69.6589393828372
reactivity,69.45759662225387
investigations,69.43410107239555
acoustic,69.39224692842086
maintain,69.3761271865301
history,69.36090213838594
contained,69.21881797788755
characters,68.97060971946856
language_processing,68.93266306851993
semantic_processing,68.86289491073431
dominance,68.740523948784
gesture,68.72749627509633
received,68.72541338418242
speed,68.70173478717747
responsive,68.56423057172246
similarity,68.40395343298084
numerical,68.32283906198246
communicative,68.23625772183001
oriented,68.22656027653164
uncertainty,68.20738348048268
ambiguity,68.12277897983496
currently,67.99380399954276
item,67.89717996025242
optimal,67.83890412408752
classic,67.76495190897106
majority,67.71311132839331
dimension,67.70188659699774
substantial,67.68533615217899
ocd,67.65826014679389
flexible,67.60515807035554
hierarchical,67.58169034285496
overt,67.51197045021598
initially,67.4700906374635
increasingly,67.2425140281381
caused,67.14882321013415
neurological,67.12531710126179
taste,66.94953839910089
times,66.79207343606245
date,66.75605158488065
stroke,66.69470963548616
videos,66.65177707334732
carried,66.57716508341215
poor,66.48885815825133
orienting,66.37287125601625
traditional,66.23731178524835
hence,66.15688631471883
advantage,66.11464870895932
emotion_regulation,66.10109760101639
failure,66.07680119251528
difficulties,65.85366033595741
cause,65.84146660091292
encoded,65.8125040848239
undergoing,65.5020264696393
indirect,65.34989117583113
nine,65.25825729537031
distance,65.23726426623281
animal,65.16063365793488
concerning,65.00783778076877
psychophysiological,64.99892843222032
bottom,64.97755821040037
developing,64.87866028476306
separately,64.87311662865685
modulates,64.82251512035857
strongest,64.79273087190872
successfully,64.76192525197989
occurring,64.67275974230779
step,64.36663942099696
extending,64.30783159486509
numbers,64.21878053031895
wide,64.00675238192916
indeed,63.974571084109385
degrees,63.71433571367443
re,63.48710393496572
precise,63.377668049104955
formed,63.36069060942667
imagined,63.28758298507298
generate,63.201186886017055
observing,63.16499064815209
operations,63.11016560451016
selectivity,62.849490387931766
vision,62.631211636410285
repeatedly,62.580577006889754
sequential,62.45151224139661
hyperactivation,62.26589950838581
classical,62.25865819830655
nonverbal,62.234875124347
speakers,62.16801216073509
existing,61.942315409797445
skills,61.68925335867898
debate,61.611668183304474
considerable,61.58677353363428
gain,61.487749220687085
employing,61.453759594519326
automatically,61.40591693141404
phases,61.398096738951764
social_interaction,61.33534927124599
studying,61.045467057061295
susceptibility,60.93297937969356
thereby,60.926654546862224
administered,60.881482873807684
voices,60.840460107682354
stories,60.83516900438511
equivalent,60.775344470754796
physiological,60.71933609495635
share,60.71603238161985
possibility,60.7071313708943
virtual,60.510276462382365
estimation,60.448520143194784
preference,60.34260619726185
implemented,60.2569782232885
ten,60.044062758499884
fearful,59.972832353597276
themselves,59.89142019706402
isolated,59.86944949375321
argue,59.864051358245916
eyes,59.84694358098416
congruent,59.764426481023946
absent,59.697240089859456
perceivers,59.6145868405782
syntactic,59.5487890325847
partly,59.547869117626675
normally,59.54676893847669
agents,59.42805312756039
infer,59.30811897685061
allowing,59.27579440652339
inputs,59.219092459743436
elderly,59.13976923093589
verbs,59.12526709303771
story,59.12378689162053
alcohol,59.03887654651368
video,59.00952601119771
improve,58.76749538766469
architecture,58.72951893947686
scales,58.70998270754388
alzheimer,58.622128726524366
rates,58.6107442993018
interval,58.5765143864319
exposed,58.51886844915042
distinction,58.423062551046335
encode,58.39898516666353
ones,58.379439111297486
variables,58.3354830021033
improvement,58.28947140079301
recruits,58.2568452106981
inhibitory,58.23386384172595
success,57.96543765052007
mirror,57.943936308801085
rule,57.93096792035126
incongruent,57.87926685792193
olfactory,57.800249552662216
syndrome,57.59237877035682
animals,57.576700484563325
examination,57.54138878461198
coordination,57.458687305257676
code,57.38860239663049
rewards,57.242693764046884
tendency,57.225651500766276
intervals,57.14121217017642
containing,57.120516964740844
childhood,57.10223441446141
length,56.96583269930147
clarify,56.92886043954326
responds,56.89303835126225
replicated,56.83177524531468
agent,56.829287165872486
cs,56.80506953564967
match,56.77508912456508
depicting,56.663211039250584
signers,56.645755125722324
poorer,56.631179485217416
marked,56.48521992207688
spatial_attention,56.40878231019643
simulation,56.36764507709344
select,56.3650716580223
hallucinations,56.2259725279871
systematic,56.19988450555938
practice,56.16380109418419
