Term,Weight
visual,1117.9267182072076
emotional,629.1958716033187
motor,580.4701547977498
attention,467.5678956824551
memory,444.6273288286501
spatial,369.75838623114925
novel,350.41638500157904
face,325.61836952384334
self,315.163335367878
faces,308.31130459978743
schizophrenia,303.740778823883
social,281.59088917220447
motion,281.0183104898308
retrieval,280.3374738923543
language,271.08776409579156
number,271.05805723654635
reward,268.56162293324786
perception,259.685968763309
words,252.73041736067813
learning,251.72592755634832
auditory,247.00475458249113
working_memory,246.68296928801323
body,242.2406427447749
encoding,239.4807146327953
semantic,238.37723009840772
default,228.15186821786585
knowledge,224.5352198270857
sensory,224.424073956277
perceptual,219.9189685836888
recognition,219.20015331237227
stimulation,218.39277516778077
speech,216.47709481915012
emotion,215.05576411886912
target,215.0387585634804
affective,212.23123749399062
action,207.74340428624166
verbal,206.1940840758421
decision,203.9096587985787
experience,201.10139371530533
person,198.53996400488643
word,193.1368550497328
cues,192.96006909579955
risk,190.79515697503854
attentional,187.40957292591662
demands,187.07204903343933
scale,179.5836980647469
monitoring,179.0242721843819
intrinsic,178.37637622388814
default_mode_network,174.62632871694427
reading,173.05110089189503
pain,169.0240156216433
future,168.22289115714523
judgments,167.3101355243865
wm,166.7049492743955
goal,166.02051926122436
focused,164.66188289332956
presence,158.77323336699138
relationships,157.63428633036796
report,154.37663826201035
actions,153.4729502834015
women,153.4007262519576
affect,152.2041690669402
mental,152.10382329439386
bias,148.98224662109817
cognitive_control,147.5736191156549
question,147.4199783720838
reveal,146.10522049097693
explore,141.68167012841218
unique,140.94777953066728
value,140.2060365134658
pictures,138.94404937496367
line,137.79747222462854
fear,137.55521560198292
explored,137.17499169852854
view,136.81992573430497
importance,136.0029537744
movement,134.96477331366407
somatosensory,134.30674702806897
core,134.247884455286
relation,134.0345838212473
outcome,133.79375822570643
various,133.58272015773863
subsequent,132.58332800488787
movements,131.1226050577433
error,127.26531423530585
involves,125.43159186878567
cue,124.37610547680582
regulation,123.95054789176254
subjective,122.72486660904852
major,122.49217933762893
selectively,122.0324496757614
mentalizing,120.61249676102152
location,119.8496297349524
spontaneous,119.73395415608195
behavioural,119.52097999637871
address,117.59205501241365
viewed,117.2664685565523
issue,115.87434226716341
depression,115.27392629419637
evaluation,114.93979204683276
loss,114.53124052824606
influences,114.23985029911017
perspective,113.94939690211588
automatic,113.581808581263
identification,112.81143659962292
ratings,110.97649769243336
seed,110.59157046312296
reflects,110.25857894034297
free,110.11822398813808
coupling,109.5933712618798
strategies,108.46434151882882
empathy,108.1322092943953
inhibition,107.91845544573417
reflected,107.75781873487179
predict,107.46008371214964
judgment,106.82757442313266
choice,106.622206631775
switching,106.37215403806294
placebo,106.33443792724002
adhd,105.41931128571474
exhibit,104.58828870406691
anticipation,104.24995824515065
personality,103.89548355159351
size,102.7741355187932
directed,102.72990898547826
viewing,102.68116037454462
six,102.54288462382233
basic,102.04432760771968
situations,101.83606429556956
stress,101.59987987535389
physical,100.75418045975672
decisions,100.4950301331386
amount,100.41697651652545
direction,100.24464734821399
errors,100.00650443647037
flow,99.94486403283956
characteristics,99.81385154636388
training,99.78028823315316
factor,99.76360286377178
image,99.26239177758288
conclusion,98.70736889220177
perceived,98.57907951636659
intensity,98.35742410615435
adult,98.1738575181372
load,97.91669947410524
nature,97.23467393799667
complexity,97.17012975616873
gaze,97.08904538081514
examining,97.05291688467105
aging,96.86871635981925
manipulation,96.29492365649716
values,95.21384367373685
influenced,95.19159225153679
regardless,95.02698496208772
conjunction,94.6786314726511
male,94.4648348975119
sensorimotor,94.33945489253512
scan,94.14079734280817
bpd,94.06681363952865
matching,93.40260604362484
conflict,93.14935003960144
situation,93.0298455703288
tests,92.76112886144578
aversive,91.98084867633682
generated,91.6817500640567
mind,91.67517245260967
explicit,91.31791887584616
generation,90.98123687412965
global,90.84925006188007
outcomes,90.84838030251012
varying,90.53817563556449
evaluated,90.29848243466806
executive,90.25133876051927
eye,90.19851128056384
predominantly,90.16562522856537
color,90.02248591416598
sentences,89.94549065507346
selection,89.62413527728097
input,89.49667185511876
asd,88.79838099433533
block,88.61867012163557
taking,87.82894732736148
sex,87.48657653251986
engagement,87.05952733664671
moral,86.95954437047604
requiring,86.92944996726757
emotions,86.52778335082334
contributions,85.93425967488434
blind,85.76943863005879
ambiguous,85.60434848870113
highlight,85.50740578972417
abstract,85.49755659392426
mood,85.42919680904188
half,85.26294117163476
discrimination,85.10704860891238
regression,84.74801103593693
deficit,84.72861417648286
opposite,84.69495568338621
sequence,84.67213409824723
modulate,84.59606674471857
located,84.55229297422167
participant,84.26894550762097
impairments,83.90709468594414
completed,83.8815805694461
contexts,83.69021344462513
adaptation,83.61806603236045
duration,83.51609890771944
bipolar,83.45676895812309
environment,83.30527267905886
respond,83.2345437391873
items,82.9399516843103
targets,82.80120078123714
manipulated,82.77177607063959
feedback,82.70010439202868
delay,82.31540187371331
reasoning,81.95101202916071
towards,81.90429756084353
selected,81.733417650756
shared,81.67779209871546
salience,81.35640236487546
adaptive,81.1514423298575
severity,80.33460910480557
sub,80.24956021353367
autism,80.12711769263281
focus,80.07333678478199
engage,79.95086023377213
preferentially,79.69141435255926
ad,79.61388142720611
mental_states,79.59247187603255
behaviors,79.46512263577708
roles,79.04063004106314
useful,78.86570077314384
comprehension,78.81184714547003
taste,78.78483957343613
responding,78.66085871953509
sustained,78.34079133231339
suppression,78.29797793503643
chinese,78.02713446980356
difficult,77.6165500957293
mid,77.5509469441293
picture,77.44779320761836
communication,77.4045027426424
five,77.28867469298302
meaning,77.11210500336333
female,77.08343436617314
assessment,77.05463404516212
repeated,77.00265146555577
forms,76.66161781757019
behaviour,76.54299538113115
sequences,76.52387950381113
status,76.40977673179702
ptsd,76.27397084419457
connected,75.97599484314003
arousal,75.62018239774169
variations,75.1152880139262
psychological,75.05655642030601
neurocognitive,74.1455976815557
outside,74.07980586983494
implicit,74.07249561701444
trait,73.78682510165105
experienced,73.67791838871034
mdd,73.67622158111038
correct,73.62269892979175
followed,73.5847610593303
instructed,73.38063320441246
rate,73.31537342900347
latter,73.27218432585468
anxiety,73.23403197820969
controlling,73.07942593302965
relate,73.07357182961528
existence,72.725060804032
lesion,72.38012010083541
substrate,72.33587156832327
experiences,72.3068385574983
default_mode,72.2091565775348
personal,72.16546877946294
throughout,72.15009368272473
explained,72.14831361342902
frequently,72.13346560093711
contextual,72.12201758453794
abilities,72.08564399924487
tactile,71.99411508537563
mediate,71.9394028513872
represented,71.83522370554252
help,71.74425726547051
recall,71.35723526464974
scenes,70.88262197876351
shape,70.64764881756453
characterize,70.62814628027807
pronounced,70.55493782863645
beyond,70.43197490762076
biological,70.39100499438347
stage,70.34935211499209
pathway,70.18380226971264
past,70.10153623362564
learned,70.02050501458612
strategy,69.88151995618969
available,69.81388734219925
accurate,69.75012137480219
comprising,69.68282452125737
namely,69.60121778617473
interpretation,69.4816389904266
interference,69.45042885680309
imagery,69.28102760165467
repetition,69.18686513872363
category,69.16967305645238
episodic,68.95628566462443
olfactory,68.93870637428938
maintenance,68.59734035063727
faster,68.45452023224692
purpose,68.27158891089114
partially,68.22805369211464
weaker,68.04650113739227
decision_making,67.91466714464691
subregions,67.74674221088038
capacity,67.47065567886214
linguistic,67.43016313690242
everyday,67.29913416599854
testing,67.14887619607036
compensatory,66.90580535139176
gestures,66.86133235667602
sessions,66.42539581855891
handed,66.26619222002671
passive,65.93717593118663
orientation,65.92552946614632
correlate,65.92364832023975
females,65.3444497203173
causal,65.28535650875537
late,65.19268142738946
music,65.15235546650777
third,65.12225507331141
population,65.07944204007023
traits,65.0446611325103
demanding,64.90051966264579
behaviorally,64.87676862827117
stages,64.80818221199274
fundamental,64.7782329379675
social_cognition,64.74099755925688
representing,64.7235580038125
identity,64.526118404903
co,64.50616701859548
phonological,64.46855728359222
facial,64.10883067054178
expression,63.976649279114795
dynamics,63.898226737040204
