Term,Weight
visual,1565.3875526123147
motor,987.9516399474956
emotional,702.573773459903
attention,541.9238883532796
spatial,471.2081538389356
memory,435.14079417057667
auditory,433.0849792427423
reward,423.67458821530784
novel,397.02902103300187
perception,380.62055883919777
face,360.33504059521755
self,355.66502029839415
stimulation,354.4821425505561
words,351.4689842420091
language,346.09193405832497
body,341.6003222894346
motion,341.3315013956057
social,338.0794492537284
sensory,336.0095087435866
speech,330.6206393392885
action,320.408055337592
number,312.1820462578914
faces,309.97680484259337
perceptual,298.1922652448011
schizophrenia,297.80068089854865
retrieval,296.20683277429447
cues,289.95639637163276
semantic,276.5354960733346
somatosensory,270.98029888982217
word,265.7578277696907
learning,262.73704691541946
target,260.1570853852558
working_memory,246.3427325952208
emotion,236.6251370292958
movement,234.71275680643237
movements,233.79521003053304
actions,232.8196171879939
default,230.3082218612494
reading,229.94611424478768
recognition,228.3153560079861
encoding,222.28684430091369
attentional,218.19004323876266
pain,213.28958387154452
experience,210.5530418848345
risk,208.81464184131013
knowledge,202.25229712449544
person,198.8943333371162
affective,194.40659852799598
decision,192.37272872153784
goal,190.12587021263872
verbal,188.42573314214786
wm,188.07396448515343
cue,182.46457066317762
scale,180.25119238337754
presence,180.05623973142934
demands,180.0550479627144
focused,172.59933348958043
default_mode_network,172.23379576168384
reveal,169.140054442458
mental,168.51655565592011
core,167.5434160704749
intrinsic,166.40815411143114
judgments,162.52463444618752
mentalizing,162.44621407199435
bias,161.40715803262492
explored,159.60218812693512
future,159.51474824808113
sensorimotor,158.79002234522994
tactile,157.8536005805104
line,157.79084143808853
explore,157.51704121741733
cognitive_control,157.4928005654616
gaze,157.32783249731924
women,157.2413497346628
value,156.6368000041355
view,154.6157535774585
affect,153.25379815246984
monitoring,152.8247626256902
report,151.4139664133702
importance,151.0024757488481
relation,150.17236258483857
identification,149.03596326937793
switching,146.47423804247381
pictures,146.30348278574075
subsequent,145.29138052004788
unique,145.17597690788153
location,143.4282950075066
relationships,141.68202056023003
automatic,140.17371147404944
size,137.4221999322309
physical,135.78471889238006
direction,135.7742563300572
outcome,135.59793431596708
error,135.5899859648614
major,135.08738519731597
involves,134.4923392677674
question,134.1680927204285
influences,133.34543019856093
viewed,131.74295689416311
inhibition,131.29158636509916
viewing,130.18083256821538
image,129.33245652305501
basic,129.2517408566121
fear,128.1115953418073
spontaneous,127.5467543816963
eye,127.39655887137725
various,126.38764010601105
sequence,126.30830050860733
sentences,126.18757500987701
evaluation,125.59371077526025
behavioural,124.87720341815954
training,123.810781180146
selectively,123.7424981981893
intensity,123.71068138772604
nature,121.98353628582774
finger,121.27221821796385
adaptation,121.17285533244176
discrimination,120.78906818430801
coupling,120.42567040102772
duration,120.05744581042168
input,119.69922670902746
perceived,119.68225028189404
salience,118.114920381782
directed,117.53025565147728
reflected,116.17384092645162
address,115.4270771842742
adhd,115.23147305047857
color,114.94537475691114
chinese,114.67134098315714
anticipation,114.5375092086469
strategies,114.26255331917864
emotions,114.1828224251025
issue,114.04199666994484
conjunction,113.90842047182363
generated,113.59086369470856
choice,113.54128351793162
depression,113.50369899352133
global,112.96175989021062
regardless,112.73365684596749
factor,111.8801788845164
mind,111.07587331336629
manipulation,111.01276511691525
perspective,110.48395744989173
regulation,110.34688295295308
matching,109.82604211638667
selection,109.76086186983076
sequences,109.52196352127382
blind,109.03881989242088
reasoning,108.80028267524995
delay,108.446550177576
comprehension,107.78446926720687
loss,107.61336028574088
complexity,107.27433795966996
five,107.0708896182152
subjective,106.65386009891833
judgment,106.28407908199405
empathy,106.03556172789713
values,106.02604845455782
exhibit,105.97327690781273
placebo,105.81915581486841
suppression,105.34553316923069
feedback,105.18899986145212
block,105.17025499764026
characteristics,105.09776797945709
evaluated,104.94910277699624
towards,103.57098916530907
stress,103.49103344376742
six,103.2342362595921
respond,102.70930392686458
seed,102.66303483595273
load,102.57578389992727
reflects,102.53850548773467
repetition,102.2719593320169
responding,101.87656344972245
free,101.72463123119087
handed,101.54397159874523
modulate,101.25326932938975
shape,100.47132441171189
located,100.42402276828494
errors,100.35022839552272
predict,100.31781811016151
generation,99.85357125796921
sounds,98.55775125737657
repeated,98.42395401183028
examining,98.36125831682602
tests,98.3169999704631
outcomes,98.21121609520988
asd,98.17339915936645
influenced,98.16846414588498
ratings,97.29980781052973
music,97.2694850168421
manipulated,97.0501054271104
