Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 1 of 25,8.125890731811523,-48,-58,30,1,Left Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 39
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 1 of 25,2.0102946758270264,-52,-50,18,1,Left Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 1 of 25,3.238880157470703,-48,-62,18,1,Left Cerebrum,Occipital Lobe,Mid Temporal Gyr,Brodmann area 19
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 2 of 25,8.125890731811523,-32,20,6,1,Left Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 2 of 25,2.0121891498565674,-40,14,-4,1,Left Cerebrum,Sub-lobar,Insula,
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 2 of 25,8.125890731811523,-38,22,-4,1,Left Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 3 of 25,8.125890731811523,2,-56,38,1,Left Cerebrum,Parietal Lobe,Precuneus,Brodmann area 7
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 3 of 25,2.023710012435913,-4,-60,26,1,Left Cerebrum,Parietal Lobe,Precuneus,Brodmann area 31
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 3 of 25,8.125890731811523,0,-54,32,1,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Brodmann area 31
MNI152_T1_2mm_brain,ALL_MNI-z_level-voxel_corr-FWE_method-montecarlo-27_08_2020,Cluster 4 of 25,8.125890731811523,52,26,6,1,Right Cerebrum,Frontal Lobe,Inf Frontal Gyrus,Brodmann area 45
