Viewer,Image,Type,Value,X,Y,Z,Series,Label 1,Label 2,Label 3,Label 4
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 1 of 17,8.125890731811523,-48,-72,10,1,Left Cerebrum,Occipital Lobe,Mid Occipital Gyr,Brodmann area 19
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 1 of 17,2.000929355621338,-42,-80,-4,1,Left Cerebrum,Occipital Lobe,Inf Occipital Gyr,Brodmann area 19
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 1 of 17,8.125890731811523,-48,-70,4,1,Left Cerebrum,Occipital Lobe,Inf Temporal Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 2 of 17,8.125890731811523,-32,20,4,1,Left Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 2 of 17,2.0159997940063477,-30,22,4,1,Left Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 2 of 17,8.125890731811523,-34,22,0,1,Left Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 3 of 17,8.125890731811523,-56,-48,14,1,Left Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 3 of 17,2.035505771636963,-58,-46,14,1,Left Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 3 of 17,8.125890731811523,-56,-48,12,1,Left Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 4 of 17,8.125890731811523,42,-58,-14,1,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 4 of 17,2.0102946758270264,40,-58,-18,1,Right Cerebellum,Posterior Lobe,Declive,
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 4 of 17,3.061814069747925,40,-52,-16,1,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 5 of 17,8.125890731811523,32,24,2,1,Right Cerebrum,Sub-lobar,Claustrum,
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 5 of 17,2.072702169418335,32,28,-2,1,Right Cerebrum,Sub-lobar,Insula,Brodmann area 13
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 5 of 17,3.540083885192871,32,26,0,1,Right Cerebrum,Sub-lobar,Claustrum,
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 6 of 17,8.125890731811523,48,-70,0,1,Right Cerebrum,Occipital Lobe,Inf Temporal Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 6 of 17,2.000929355621338,48,-78,-2,1,Right Cerebrum,Occipital Lobe,Inf Occipital Gyr,Brodmann area 19
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 6 of 17,8.125890731811523,48,-70,0,1,Right Cerebrum,Occipital Lobe,Inf Temporal Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 7 of 17,8.125890731811523,58,-46,10,1,Right Cerebrum,Temporal Lobe,Sup Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 7 of 17,2.0415115356445312,58,-46,4,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 22
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 7 of 17,3.540083885192871,58,-44,10,1,Right Cerebrum,Temporal Lobe,Mid Temporal Gyr,Brodmann area 21
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 8 of 17,8.125890731811523,-40,-54,-18,1,Left Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 8 of 17,2.0198397636413574,-44,-56,-18,1,Left Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
MNI152_T1_2mm_brain,Soc_Comm_MNI-z_level-voxel_corr-FWE_method-montecarlo-28_08_2020,Cluster 8 of 17,3.2905266284942627,-42,-54,-18,1,Left Cerebrum,Temporal Lobe,Fusiform Gyrus,Brodmann area 37
