Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,   62,  -38,   12,8.18154,21416,R,Temporal Sup
    1,   50,  -68,    2,7.2189,21416,R,Temporal Mid
    1,   42,  -58,  -14,7.19581,21416,R,Fusiform
    1,   48,  -32,    2,4.3537,21416,R,Temporal Sup
    1,   56,  -52,   32,4.22201,21416,R,Angular
    1,   48,  -62,   48,3.84853,21416,R,Angular
    2,  -48,  -72,    8,8.00063,16872,L,Occipital Mid
    2,  -54,  -50,   14,7.27017,16872,L,Temporal Mid
    2,  -38,  -82,   -4,5.6771,16872,L,Occipital Inf
    2,  -50,  -62,   40,5.67562,16872,L,Angular
    2,  -44,  -62,   20,5.52813,16872,L,Temporal Mid
    2,  -58,  -48,   30,3.21308,16872,L,SupraMarginal
    3,    2,   56,   16,7.06222,16800,L,Frontal Sup Medial
    3,   -4,   40,   -8,6.90881,16800,L,Frontal Med Orb
    3,    0,   56,   -6,6.13363,16800,L,Frontal Med Orb
    3,   12,   42,   14,4.11146,16800,R,Cingulate Ant
    3,    8,   48,   34,3.94302,16800,R,Frontal Sup Medial
    4,   32,   24,   -6,9.16264,15296,R,Frontal Inf Orb 2
    4,   52,   24,   28,6.28667,15296,R,Frontal Inf Tri
    4,   50,   18,   -2,5.62298,15296,R,Frontal Inf Oper
    4,   50,    2,   46,5.48174,15296,R,Precentral
    4,   28,   20,  -22,4.85859,15296,R,OFCpost
    4,   42,   40,   14,4.32122,15296,R,Frontal Mid 2
    5,  -32,   20,   -2,10.8415, 8776,L,Insula
    5,  -46,   28,  -10,7.01648, 8776,L,Frontal Inf Orb 2
    5,  -52,   10,   -4,4.58175, 8776,L,Temporal Pole Sup
    6,    4,   24,   46,7.74326, 7088,R,Supp Motor Area
    6,   -4,    8,   50,6.24166, 7088,L,Supp Motor Area
    6,   -6,   18,   62,4.4543, 7088,L,Supp Motor Area
    7,    0,  -58,   32,7.00582, 6016,L,Precuneus
    7,  -10,  -56,   14,4.49164, 6016,L,Precuneus
    8,   -8,    4,   -4,6.01442, 2680,,no label
    8,  -20,   -6,  -14,5.34201, 2680,L,Amygdala
    9,   28,  -62,   52,6.75115, 2208,R,Parietal Sup
   10,   -6,  -94,    6,5.62445, 2152,L,Calcarine
   11,  -36,  -56,   50,5.78541, 2112,L,Parietal Inf
   12,   48,  -34,   44,4.17279, 1112,R,SupraMarginal
   13,   52,  -30,   54,3.14664,    8,R,Postcentral
