Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,   50,  -70,    2,7.73758,21880,R,Temporal Mid
    1,   40,  -50,  -18,6.9327,21880,R,Fusiform
    1,   54,  -46,   14,6.74584,21880,R,Temporal Sup
    1,   34,  -88,    8,5.6639,21880,R,Occipital Mid
    1,   52,  -16,    2,4.84422,21880,R,Temporal Sup
    1,   20,  -94,    4,4.81844,21880,R,Occipital Sup
    1,   58,  -54,   30,4.44911,21880,R,Angular
    2,  -48,  -58,   24,8.28055,19144,L,Angular
    2,  -48,  -72,    4,6.63446,19144,L,Occipital Mid
    2,  -54,  -48,   12,5.76671,19144,L,Temporal Mid
    2,  -40,  -54,  -20,5.67493,19144,L,Fusiform
    2,  -34,  -88,   -6,4.87992,19144,L,Occipital Inf
    2,  -30,  -44,  -10,3.47192,19144,L,Fusiform
    3,   32,   24,   -4,7.82884,13912,R,Insula
    3,   48,   10,   30,6.55194,13912,R,Precentral
    3,   54,   28,    2,6.20448,13912,R,Frontal Inf Tri
    3,   46,   34,   20,4.35929,13912,R,Frontal Mid 2
    4,  -32,   20,   -2,9.47919,11368,L,Insula
    4,  -46,   28,  -12,7.01939,11368,L,Frontal Inf Orb 2
    4,  -50,   22,    6,5.21647,11368,L,Frontal Inf Tri
    4,  -38,   10,   32,4.68611,11368,L,Precentral
    4,  -48,   22,   26,4.4039,11368,L,Frontal Inf Tri
    5,   -2,   58,   18,6.32048, 6240,L,Frontal Sup Medial
    5,   -8,   54,   34,5.59476, 6240,L,Frontal Sup Medial
    5,    8,   56,    6,3.79944, 6240,R,Frontal Sup Medial
    6,    0,  -54,   30,8.79275, 5984,L,Cingulate Post
    6,    0,  -48,   44,3.23398, 5984,L,Precuneus
    7,   -2,   12,   52,5.29704, 4304,L,Supp Motor Area
    7,    4,   24,   44,4.59504, 4304,R,Frontal Sup Medial
    8,    0,   38,  -10,5.03773, 3712,R,Frontal Med Orb
    8,    2,   56,   -6,3.90876, 3712,R,Frontal Med Orb
    9,  -40,  -48,   50,6.2949, 3640,L,Parietal Inf
   10,   56,   -4,  -20,5.90903, 2840,R,Temporal Mid
   10,   50,    6,  -32,4.8107, 2840,R,Temporal Pole Mid
   11,  -56,   -6,  -18,5.78404, 2344,L,Temporal Mid
   11,  -50,   -2,  -34,3.89125, 2344,L,Temporal Inf
   12,   42,  -46,   42,4.37517, 1968,R,Parietal Inf
   12,   32,  -58,   46,3.8581, 1968,R,Angular
   13,  -48,  -30,   -4,4.7412, 1944,,no label
   14,   -8,   44,   48,4.11969,  304,L,Frontal Sup Medial
