Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -48,  -60,   24,9.27042,36264,L,Angular
    1,  -54,  -48,   12,9.18851,36264,L,Temporal Mid
    1,  -48,  -70,   10,8.67302,36264,L,Temporal Mid
    1,  -40,  -54,  -20,7.09473,36264,L,Fusiform
    1,  -38,  -48,   48,5.72299,36264,L,Parietal Inf
    1,  -38,  -22,   56,4.94817,36264,L,Precentral
    1,  -58,  -48,   30,4.63247,36264,L,SupraMarginal
    1,  -28,  -64,   44,4.32537,36264,L,Parietal Sup
    1,  -50,  -26,   34,4.29225,36264,L,SupraMarginal
    1,  -52,  -28,   18,4.0078,36264,L,Temporal Sup
    2,   50,  -70,    2,9.08738,34024,R,Temporal Mid
    2,   62,  -40,   14,7.89413,34024,R,Temporal Sup
    2,   40,  -50,  -20,7.7288,34024,R,Fusiform
    2,   48,  -32,    2,6.69439,34024,R,Temporal Sup
    2,   28,  -60,   52,5.94635,34024,R,Parietal Sup
    2,   52,  -60,   26,5.6172,34024,R,Angular
    2,   48,  -32,   46,5.11465,34024,R,SupraMarginal
    2,   34,  -90,    8,4.46029,34024,R,Occipital Mid
    2,   30,  -42,  -10,4.02991,34024,R,Fusiform
    2,   52,  -28,   18,3.55111,34024,R,Rolandic Oper
    3,   34,   24,    0,9.36099,17960,R,Insula
    3,   50,   10,   30,7.93033,17960,R,Precentral
    3,   54,   24,   18,6.05629,17960,R,Frontal Inf Tri
    3,   50,    2,   46,5.91801,17960,R,Precentral
    3,   48,   28,   -4,5.44077,17960,R,Frontal Inf Orb 2
    3,   44,   40,   14,4.94551,17960,R,Frontal Mid 2
    4,    4,   56,   20,9.06696,17880,R,Frontal Sup Medial
    4,   -4,   42,   -8,6.8322,17880,L,Frontal Med Orb
    4,    2,   56,   -6,6.79615,17880,R,Frontal Med Orb
    4,   -6,   54,   34,5.79532,17880,L,Frontal Sup Medial
    4,    0,   36,    8,3.65233,17880,L,Cingulate Ant
    5,  -32,   20,   -2,12.1795,15272,L,Insula
    5,  -46,   28,  -10,10.1941,15272,L,Frontal Inf Orb 2
    5,  -46,    4,   52,7.15891,15272,L,Frontal Mid 2
    5,  -38,    6,   32,5.17585,15272,L,Precentral
    5,  -54,   24,   12,4.66165,15272,L,Frontal Inf Tri
    5,  -54,   10,    6,4.6584,15272,L,Frontal Inf Oper
    5,  -52,   10,   22,4.41246,15272,L,Frontal Inf Oper
    5,  -44,   46,   -2,4.20587,15272,L,Frontal Mid 2
    6,   -2,    8,   50,7.93835, 9496,L,Supp Motor Area
    6,    4,   24,   46,7.63948, 9496,R,Supp Motor Area
    7,    2,  -56,   32,9.65603, 9056,L,Precuneus
    7,   -8,  -56,   16,5.64038, 9056,L,Precuneus
    7,    8,  -52,   52,4.02991, 9056,R,Precuneus
    8,   12,  -26,   -4,6.3004, 4200,,no label
    8,   10,  -14,    8,5.34593, 4200,R,Thalamus
    8,   -8,  -18,    8,3.71253, 4200,L,Thalamus
    9,  -54,    2,  -24,6.98852, 3544,L,Temporal Mid
   10,   58,   -4,  -20,7.52245, 3392,R,Temporal Mid
   10,   50,    8,  -32,3.74013, 3392,R,Temporal Pole Mid
   11,   -6,  -94,    6,5.53926, 2752,L,Calcarine
   12,   10,   10,   -4,8.26514, 2224,R,Caudate
   13,  -44,   34,   12,3.83222,  544,L,Frontal Inf Tri
   14,   36,  -92,   -4,3.16887,    8,R,Occipital Inf
