Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -48,  -58,   24,8.90697,23384,L,Angular
    1,  -50,  -72,    4,6.53997,23384,L,Occipital Mid
    1,  -54,  -48,   12,5.6878,23384,L,Temporal Mid
    1,  -40,  -54,  -20,5.44915,23384,L,Fusiform
    1,  -34,  -88,   -6,5.31054,23384,L,Occipital Inf
    1,  -44,  -26,    6,5.2999,23384,L,Temporal Sup
    1,  -60,  -26,    0,4.90879,23384,L,Temporal Mid
    1,  -44,  -64,   -8,4.22339,23384,L,Temporal Inf
    1,  -52,  -58,   44,3.23453,23384,L,Parietal Inf
    2,   50,  -70,    2,8.49305,23368,R,Temporal Mid
    2,   40,  -50,  -18,6.82746,23368,R,Fusiform
    2,   54,  -46,   14,6.62858,23368,R,Temporal Sup
    2,   34,  -88,    8,5.9868,23368,R,Occipital Mid
    2,   54,  -16,    2,5.27869,23368,R,Temporal Sup
    2,   18,  -92,    0,5.13128,23368,R,Calcarine
    2,   56,  -54,   30,4.36396,23368,R,Angular
    2,   40,  -66,  -10,3.96216,23368,R,Occipital Inf
    2,   30,  -42,  -10,3.74127,23368,R,Fusiform
    3,   34,   24,    0,8.01785,13736,R,Insula
    3,   48,   10,   30,7.20358,13736,R,Precentral
    3,   52,   26,    8,5.49722,13736,R,Frontal Inf Tri
    3,   46,   34,   20,4.27842,13736,R,Frontal Mid 2
    4,    0,   56,   16,7.02577,12584,L,Frontal Sup Medial
    4,    2,   56,   -6,5.8642,12584,R,Frontal Med Orb
    4,   -8,   54,   34,5.05682,12584,L,Frontal Sup Medial
    4,   -2,   44,  -18,4.33149,12584,L,Rectus
    5,  -32,   20,   -2,9.16624,10984,L,Insula
    5,  -46,   28,  -12,7.01577,10984,L,Frontal Inf Orb 2
    5,  -42,   10,   34,5.15214,10984,L,Precentral
    5,  -50,   22,    6,4.81629,10984,L,Frontal Inf Tri
    5,  -42,   28,   18,3.90589,10984,L,Frontal Inf Tri
    6,    2,  -56,   32,9.32678, 5776,L,Precuneus
    7,  -40,  -48,   50,6.22388, 4472,L,Parietal Inf
    8,   -2,   10,   52,4.94372, 4080,L,Supp Motor Area
    8,    6,   24,   44,4.72666, 4080,R,Frontal Sup Medial
    9,   58,   -4,  -20,5.49363, 2704,R,Temporal Mid
    9,   50,    6,  -32,4.74089, 2704,R,Temporal Pole Mid
   10,   64,  -48,   22,3.19421,   16,R,Temporal Sup
   11,  -40,   18,   40,3.10042,    8,L,Frontal Mid 2
   12,   62,  -50,   24,3.10021,    8,R,SupraMarginal
